Name,Website,Latitude,Longitude,Address Line 1,,Address Line 2,City,State,Zip,Phone ,Type,Accept Undocumented?
Hopeline Pregnancy Resource Center - Stamford Office,http://hopelineprc.org/,41.10024,-73.5479,838 High Ridge Road,,,Stamford,CT,6902,203-324-3167,Employment,
Optimus Health Care - Harbor Point Community Health Center,https://optimushealthcare.org/opthc/locations-2/optimus-harbor-point/,41.04334,-73.54192,805 Atlantic Street,,,Stamford,CT,6902,203-327-5810,Employment,
Optimus Health Care - Stamford - Washington Boulevard,https://optimushealthcare.org/opthc/locations-2/optimus-on-the-boulevard/,41.05821,-73.5426,1351 Washington Boulevard,,,Stamford,CT,6901,203-348-3828,Employment,
Planned Parenthood Of Southern New England - Stamford,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,41.06675,-73.5436,35 Sixth Street,,,Stamford,CT,6901,203-921-4161,Employment,
Birthright Of Greater Stamford,http://birthright.org/greaterstamford/,41.05597,-73.5407,388 Summer Street,,,Stamford,CT,69025696,203-324-9258,Employment,
Hopeline Pregnancy Resource Center - Stamford Office,http://hopelineprc.org/,41.10024,-73.5479,838 High Ridge Road,,2nd Floor,Stamford,CT,6902,203-324-1816,Employment,
Optimus Health Care - Harbor Point Community Health Center,https://optimushealthcare.org/opthc/locations-2/optimus-harbor-point/,41.04334,-73.54192,805 Atlantic Street,,2nd Floor,Stamford,CT,6905,866-859-8818,Employment,
Optimus Health Care - Stamford - Washington Boulevard,https://optimushealthcare.org/opthc/locations-2/optimus-on-the-boulevard/,41.05821,-73.5426,1351 Washington Boulevard,,2nd Floor,Stamford,CT,6901,866-770-1881,Financial,YES
Planned Parenthood Of Southern New England - Stamford,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,41.06675,-73.5436,35 Sixth Street,,,Stamford,CT,6905,855-626-6632,Financial,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6902,203-359-2320,Financial,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6901,203-977-5888,Financial,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6905,1 203-251-9300,Financial,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,5th Floor,Stamford,CT,6901,203-977-5888,Financial,
Urban League Of Southern Connecticut,https://www.ulsc.org/,41.04415,-73.53869,137 Henry Street,,,Stamford,CT,6904,203-977-4747,Financial,
Women'S Mentoring Network,https://wmninc.org/,41.05985,-73.54187,141 Franklin Street,,9th Floor,Stamford,CT,6905,855-626-6632,Financial,
Women'S Mentoring Network,https://wmninc.org/,41.05985,-73.54187,141 Franklin Street,,5th Floor,Stamford,CT,6904,203-977-4747,Financial,
Stamford Public Schools,https://www.stamfordpublicschools.org/,41.051501,-73.543146,888 Washington Boulevard,,,Stamford,CT,6901,866-770-1881,Financial,
"Stamford, City Of - Tax Collector",https://www.stamfordct.gov/tax-collection,41.05149,-73.5431,888 Washington Boulevard,,9th Floor,Stamford,CT,6901,866-770-1881,Financial,
"Stamford, City Of - Municipal Agent For The Elderly",https://data.ct.gov/api/views/dsrn-u9nm/rows.pdf?app_token=U29jcmF0YS0td2VraWNrYXNz0,41.05149,-73.5431,888 Washington Boulevard,,,Stamford,CT,6905,855-626-6632,Financial,
Stamford Public Schools,https://www.stamfordpublicschools.org/,41.051501,-73.543146,888 Washington Boulevard,,5th Floor,Stamford,CT,69055519,203-324-6584,Financial,
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,,Stamford,CT,69042152,203-323-2149,Financial,
"Stamford, City Of - Municipal Agent For The Elderly",https://data.ct.gov/api/views/dsrn-u9nm/rows.pdf?app_token=U29jcmF0YS0td2VraWNrYXNz0,41.05149,-73.5431,888 Washington Boulevard,,5th Floor,Stamford,CT,6905,203-636-0971,Financial,
Clothes To Kids Of Fairfield County,https://clothestokidsfairfieldcounty.org/,41.04886,-73.5513,90 Fairfield Avenue,,,Stamford,CT,6902,203-327-5810,Financial, NO- If you take any of the trainning & classes/ YES- ONLY- If you are doing any of the financial package
Stamford Public Schools,https://www.stamfordpublicschools.org/,41.051501,-73.543146,888 Washington Boulevard,,,Stamford,CT,6902,203-416-1503,Food,
Domus - Stamford Academy,https://www.stamfordacademy.org/about-us,41.05921,-73.5365,229 North Street,,,Stamford,CT,6905,203-487-0983,Food,
Stamford Public Schools,https://www.stamfordpublicschools.org/,41.051501,-73.543146,888 Washington Boulevard,,,Stamford,CT,6904,203-977-5151,Food,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,,Stamford,CT,6906,203-358-8898,Food,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,,Stamford,CT,6902,484-525-0980,Food,
Child Guidance Center Of Southern Connecticut,https://childguidancect.org/,41.0568988,-73.5363149,196 Greyrock Place,,,Stamford,CT,6901,203-348-8755,Food,
Child Guidance Center Of Southern Connecticut - Stamford Satellite,https://childguidancect.org/,41.0568988,-73.5363149,103 West Broad Street,,,Stamford,CT,6903,203-406-0343,Food,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,,Stamford,CT,6901,203-921-4161,Food,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,Suite 105,Stamford,CT,6902,203-359-2215,Food,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,,Stamford,CT,6902,203-964-8228,Food,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,5th Floor,Stamford,CT,6902,203-359-2320,Food,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,5th Floor,Stamford,CT,6907,203-293-8256,Food,
"Social Security Administration, United States - Stamford",http://www.socialsecurityoffices.info/city/ct-stamford,41.0550085,-73.53777,2 Landmark Square,,Suite 400,Stamford,CT,6905,855-626-6632,Food,
New Covenant Center,https://www.newcovenantcenter.org/,41.04759,-73.5513,174 Richmond Hill Avenue,,Suite 400,Stamford,CT,6902,203-964-8228,Food,
"Stamford Public Schools, Special Education",https://www.stamfordpublicschools.org/district/special-education,41.05149,-73.5431,888 Washington Boulevard,,Suite 105,Stamford,CT,6901,203-977-4385,Food,
"Stamford Public Schools, Special Education",https://www.stamfordpublicschools.org/district/special-education,41.05149,-73.5431,888 Washington Boulevard,,,Stamford,CT,6902,203-327-5111,Health,Yes
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,Stamford,CT,6902,203-621-3700,Health,YES
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,Stamford,CT,6905,855-626-6632,Health,
"Social Security Administration, United States - Stamford",http://www.socialsecurityoffices.info/city/ct-stamford,41.0550085,-73.53777,2 Landmark Square,,,Stamford,CT,6904,877-233-9355,Health,
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,,Stamford,CT,6904,877-233-9355,Health,
School Based Health Center - Stamford - Cloonan Middle School,https://www.stamfordpublicschools.org/stamford-high-school/student-support-services/pages/school-based-health-center,41.059756,-73.547417,11 West North Street,,,Stamford,CT,6905,855-805-4325,Health,
School Based Health Center - Stamford - Dolan Middle School/Toquam Elementary School,https://www.stamfordpublicschools.org/stamford-high-school/student-support-services/pages/school-based-health-center,41.079474,-73.523856,51 Toms Road,,,Stamford,CT,6905,855-805-4325,Health,
School Based Health Center - Stamford - Rippowam Middle School/Aite High School,https://www.stamfordpublicschools.org/stamford-high-school/student-support-services/pages/school-based-health-center,41.08427,-73.5489,381 High Ridge Road,,,Stamford,CT,6905,855-626-6632,Health,
School Based Health Center - Stamford - Stamford High School,https://www.stamfordpublicschools.org/stamford-high-school/student-support-services/pages/school-based-health-center,41.061991,-73.531052,55 Strawberry Hill Avenue,,,Stamford,CT,6905,855-805-4325,Health,
School Based Health Center - Stamford - Westhill High School,https://www.stamfordpublicschools.org/stamford-high-school/student-support-services/pages/school-based-health-center,41.092035,-73.565198,125 Roxbury Road,,,Stamford,CT,6902,203-658-9507,Health,
Ari Of Connecticut,https://www.arict.org/,41.04759,-73.5513,174 Richmond Hill Avenue,,,Stamford,CT,6902,203-969-0802,Health,
Laurel House,https://www.laurelhouse.net/,41.06137,-73.5442,1616 Washington Boulevard,,3rd Floor,Stamford,CT,6902,203-357-0277,Health,
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,8th Floor,Stamford,CT,6902,203-327-5111,Health,
Planned Parenthood Of Southern New England - Stamford,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,41.06675,-73.5436,35 Sixth Street,,,Stamford,CT,6902,203-327-5111,Health,
"Children And Families, State Of Connecticut Department Of - Stamford Area Office",https://portal.ct.gov/DCF,41.04552,-73.5252,401 Shippan Avenue,,,Stamford,CT,6902,203-327-2722,Health,
Silversource,https://www.silversource.org/,41.06621,-73.5445,2009 Summer Street,,,Stamford,CT,6904,877-233-9355,Health,
"Stamford, City Of - Probate",https://www.jud.ct.gov/probate/,41.05149,-73.5431,888 Washington Boulevard,,,Stamford,CT,6901,203-388-2192,Health,
Starelief And Pet Assistance,http://starelief.org/,41.09679,-73.5477,High Ridge Shopping Center,,,Stamford,CT,6902,203-327-2722,Health,
Laurel House - Treasure Hunters Thrift Store,https://www.laurelhouse.net/program-services/treasure-hunters-thrift-store.html,41.05679,-73.5401,501 Summer Street,,,Stamford,CT,6905,855-626-6632,Health,
Boys And Girls Club Of Stamford,http://www.bgcastamford.org/,41.05542,-73.55719,347 Stillwater Avenue,,5th Floor,Stamford,CT,6905,855-626-6632,Health,
Roscco 21St Century Community Learning Center - Hart Magnet School,http://roscco.org/21st-Century-Community-Learning-Centers,41.057879,-73.547257,61 Adams Avenue,,,Stamford,CT,6904,203-276-1000,Health,
Stamford Peace Youth Foundation,https://www.peaceyouthct.org/,41.10058,-73.5643,925 Long Ridge Road,,,Stamford,CT,6901,800-550-4900,Health,
"Education, State Of Connecticut Department Of - J.M. Wright Technical High School)",http://wright.cttech.org/index.html,41.06541,-73.5506,120 Bridge Street,,,Stamford,CT,6905,203-890-9229,Health,
Stamford Public Schools,https://www.stamfordpublicschools.org/,41.051501,-73.543146,888 Washington Boulevard,,,Stamford,CT,6902,203-327-5111,Health,
"Department Of Rehabilitation Services, State Of Connecticut - Bureau Of Rehabilitation Services - Stamford Local Office",https://www.ct.gov/dors/site/default.asp,41.06519,-73.542,1642 Bedford Street,,2nd Floor,Stamford,CT,6902,203-621-3700,Health,
Laurel House,https://www.laurelhouse.net/,41.06137,-73.5442,1616 Washington Boulevard,,,Stamford,CT,6902,203-327-2722,Health,
"Stamford, City Of - Health Department",https://www.stamfordct.gov/department-of-health,41.051501,73.543146,888 Washington Boulevard,,,Stamford,CT,6901,800-550-4900,Health,
"Stamford, City Of - Health Department",https://www.stamfordct.gov/department-of-health,41.051501,73.543146,888 Washington Boulevard,,,Stamford,CT,6905,203-890-9229,Health,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6902,203-327-5111,Health,
Planned Parenthood Of Southern New England - Stamford,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,41.06675,-73.5436,35 Sixth Street,,,Stamford,CT,6902,203-621-3700,Health,
Boys And Girls Club Of Stamford,http://www.bgcastamford.org/,41.05542,-73.55719,347 Stillwater Avenue,,,Stamford,CT,6902,203-327-2722,Health,
Jewish Community Center Of Stamford,http://www.stamfordjcc.org/,41.09503,-73.5302,1035 Newfield Avenue,,,Stamford,CT,6905,855-626-6632,Health,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,,Stamford,CT,6902,203-977-4544,Health,
Salvation Army - Stamford Corps Community Center,https://ctri.salvationarmy.org/sne/stamford,41.04097,-73.5556,198 Selleck Street,,,Stamford,CT,6906,203-977-4698,Health,
Stamford Peace Youth Foundation,https://www.peaceyouthct.org/,41.10058,-73.5643,925 Long Ridge Road,,,Stamford,CT,6905,203-977-5255,Health,
"Stamford, City Of - Youth Services  Bureau",https://www.stamfordct.gov/youth-services,41.05149,-73.5431399,888 Washington Boulevard,,,Stamford,CT,6902,203-977-5511,Health,
Urban League Of Southern Connecticut,https://www.ulsc.org/,41.04415,-73.53869,137 Henry Street,,,Stamford,CT,6902,203-977-4937,Health,
Addiction Recovery Services,https://www.greenwichhospital.org/services/addiction-recovery/center.aspx,41.06425,-73.6398,"5 Perryridge Rd,",,,Stamford,CT,6902,203-327-2722,Health,
Arms Acres,http://www.armsacres.com/,41.412939,-73.675601,Arms Acres 75 Seminary Hill Road,,,Stamford,CT,6905,203-251-9430,Health,
Child Guidance Center,https://www.stamfordct.gov/youth-services/pages/child-guidance-center-of-southern-ct,41.05195,-73.5422,"103 W Broad St, ",,,Stamford,CT,6901,203-977-4371,Health,
Causeway Collaborative,https://causewaycollaborative.com/,41.14148,-73.3599,720 Post Rd E # 123,,,Stamford,CT,6902,203-327-2722,Health,
Ct Counseling Centers Inc.,http://www.ctcounseling.org/,41.11366,-73.4077,"20 North Main Street,",,,Stamford,CT,6901,203-969-1830,Housing,
Ct Renaissance,http://www.ctrenaissance.com/,41.05195,-73.5422,141 Franklin Street,,,Stamford,CT,6905,203-965-5308,Housing,
Family Centers Inc,http://www.familycenters.org/,41.06425,-73.6398,20 Bridge St,,,Stamford,CT,6905,203-965-5308,Housing,
Liberation Programs Inc.,http://liberationprograms.org/,41.05195,-73.5422,129 Glover Ave,,,Stamford,CT,6902,203-327-5810,Housing,
Mountainside Wilton,https://mountainside.com/locations/wilton,41.19086,-73.4275,372 Danbury Rd,,,Stamford,CT,6901,203-324-6127,Mental,YES- As long as you are 18 years old or younger
Newport Academy Day School,https://www.newportacademy.com/locations/day-schools/,41.06908,-73.4775,,,,Stamford,CT,6901,203-324-6127,Mental,YES-As long as you are 18 years old or younger
Positive Directions Center For Prevention & Recovery,https://www.positivedirections.org/,41.14148,-73.3599,90 Post road,,,Stamford,CT,6902,203-324-6127,Mental,YES-As long as you are 18 years old or younger
Recovery Network Of Programs Inc.,http://www.recovery-programs.org/,41.18213,-73.1906,425 Grant St,,,Stamford,CT,6902,203-969-0802,Mental,YES-unless you do payment plan you need to show proof of SS#
Silver Hill Hospital,https://www.silverhillhospital.org/,41.14591,-73.4918,208 Valley Rd,,,Stamford,CT,6902,203-602-4441,Mental,"Yes-BUT-if you do not have one, another type of ID might be requested/provided"
Stamford Counseling Center,http://sccweb.org/,41.05195,-73.5422,22 Long Ridge,,,Stamford,CT,6901,203-921-4161,Mental,YES
The Life Solution Center Of Darien,https://www.thelifesolutioncenter.net/,41.06908,-73.4775,28 Thorndal Cir,,,Stamford,CT,6901,203-324-6127,Mental,
Turnbridge,https://www.tpaddictiontreatment.com/,41.30801,-72.9243,189 Orange St,,,Stamford,CT,6901,203-324-6127,Mental,
Behavioral Health Clinic At Greenwich Hospital,https://www.greenwichhospital.org/services/psychiatry-and-psychology.aspx,41.06425,-73.6398,55 Holly Hill Ln,,,Stamford,CT,6902,203-324-6127,Mental,
